Wejście,Nazwa w TERYT,Typ
Końskie,Końskie,
Konstancin-Jeziorna,Konstancin-Jeziorna,
Konstantynów,Konstantynów,
Konstantynów Łódzki,Konstantynów Łódzki,
Kopaczów,Kopaczów,
Kopanica,Kopanica,
Korfantów,Korfantów,
Kórnik,Kórnik,
Koronowo,Koronowo,
Korsze,Korsze,
Korzybie,Korzybie,
Kosakowo,Kosakowo,
Kościan,Kościan,
Kościelec,Kościelec,
Kościelisko,Kościelisko,
Kościelna Wieś,Kościelna Wieś,
Kościernica,Kościernica,
Kościerzyna,Kościerzyna,
Kościeszki,Kościeszki,
Kościuszki,Kościuszki,
Kosierz,Kosierz,
Kosin,Kosin,
Kostomłoty,Kostomłoty,
Kostomłoty Pierwsze,Kostomłoty Pierwsze,
Kostrzyn,Kostrzyn,
Kostrzyn nad Odrą,Kostrzyn nad Odrą,
Koszalin,Koszalin,
Koszęcin,Koszęcin,
Koszwały,Koszwały,
Koszyce Małe,Koszyce Małe,
Koszyce Wielkie,Koszyce Wielkie,
Kotla,Kotla,
Kowal,Kowal,
Kowale,Kowale,
Kowale Oleckie,Kowale Oleckie,
Kowalewo Pomorskie,Kowalewo Pomorskie,
Kowalów,Kowalów,
Kowalowa,Kowalowa,
Kowanówko,Kowanówko,
Kowary,Kowary,
Koziegłowy,Koziegłowy,
Kozielice,Kozielice,
Kozienice,Kozienice,
Koźliny,Koźliny,
Koźmin Wielkopolski,Koźmin Wielkopolski,
Kożuchów,Kożuchów,
Kożuchy,Kożuchy,
Kozy,Kozy,
Kraczki,Kraczki,
Krajenka,Krajenka,
Kraków,Kraków,
Krakowiany,Krakowiany,
Kraków-Podgórze,Kraków-Podgórze,
Krakowska,Krakowska,
Kramarzewo,Kramarzewo,
Krąpiel,Krąpiel,
Krapkowice,Krapkowice,
Krąplewo,Krąplewo,
Krasne,Krasne,
Kraśnica,Kraśnica,
Kraśnik,Kraśnik,
Kraśnik Dolny,Kraśnik Dolny,
Krasnystaw,Krasnystaw,
Kraszewo,Kraszewo,
Kraszowice,Kraszowice,
Krawiecka,Krawiecka,
Krążkowy,Krążkowy,
Kręczki,Kręczki,
Krępsko,Krępsko,
Krobielewko,Krobielewko,
Krokowa,Krokowa,
Królewiec,Królewiec,
Kromnów,Kromnów,
Krosino,Krosino,
Krośnice,Krośnice,
Krośniewice,Krośniewice,
Krosno,Krosno,
Krosno Odrzańskie,Krosno Odrzańskie,
Krosnowice,Krosnowice,
Krotoszyn,Krotoszyn,
Krowodrza,Krowodrza,
Krupski Młyn,Krupski Młyn,
Kruszewnia,Kruszewnia,
Kruszwica,Kruszwica,
Kruszyn,Kruszyn,
Krynica Morska,Krynica Morska,
Krynica-Zdrój,Krynica-Zdrój,
Krynki,Krynki,
Krzeczyn,Krzeczyn,
Krzeczyn Mały,Krzeczyn Mały,
Krzemieniewo,Krzemieniewo,
Krzepice,Krzepice,
Krzeptów,Krzeptów,
Krzeszowice,Krzeszowice,
Krzydlina Mała,Krzydlina Mała,
Krzyki,Krzyki,
Krzyska,Krzyska,
Krzyszkowice,Krzyszkowice,
Krzyszkowo,Krzyszkowo,
Krzywda,Krzywda,
Krzywiń,Krzywiń,
Krzyżanów,Krzyżanów,
Krzyżanowice,Krzyżanowice,
Krzyż Wielkopolski,Krzyż Wielkopolski,
Ksawerów,Ksawerów,
Książ Wielkopolski,Książ Wielkopolski,
Kudowa-Zdrój,Kudowa-Zdrój,
Kujan,Kujan,
Kuleje,Kuleje,
Kulin,Kulin,
Kunice,Kunice,
Kunowice,Kunowice,
Kurnatowice,Kurnatowice,
Kurowice Kościelne,Kurowice Kościelne,
Kurza Góra,Kurza Góra,
Kurzętnik,Kurzętnik,
Kusice,Kusice,
Kusowo,Kusowo,
Kutno,Kutno,
Kuźnia Raciborska,Kuźnia Raciborska,
Kuźnica Czeszycka,Kuźnica Czeszycka,
Kwasów,Kwasów,
Kwidzyn,Kwidzyn,
Kwilcz,Kwilcz,
Łabiszyn,Łabiszyn,
Lachmirowice,Lachmirowice,
Łąck,Łąck,
Łącznik,Łącznik,
Lądek-Zdrój,Lądek-Zdrój,
Ładna,Ładna,
Łagiewniki,Łagiewniki,
Łagiszyn,Łagiszyn,
Łagoszów Mały,Łagoszów Mały,
Łagoszów Wielki,Łagoszów Wielki,
Łagów,Łagów,
Łąka,Łąka,
Łambinowice,Łambinowice,
Łańcut,Łańcut,
Łapy,Łapy,
Łasin,Łasin,
Łask,Łask,
Laski Koszalińskie,Laski Koszalińskie,
Laskowice,Laskowice,
Łąsko Wielkie,Łąsko Wielkie,
Lasowice Małe,Lasowice Małe,
Laszczki,Laszczki,
Latchorzew,Latchorzew,
Ławica,Ławica,
Ławice,Ławice,
Łaz,Łaz,
Łażany,Łażany,
Łaziska,Łaziska,
Łaziska Górne,Łaziska Górne,
Łazy,Łazy,
Łazy Wielkie,Łazy Wielkie,
Łeba,Łeba,
Lębork,Lębork,
Łęczna,Łęczna,
Łęczyca,Łęczyca,
Łęczyce,Łęczyce,
Lednica Górna,Lednica Górna,
Lędziny,Lędziny,
Lega,Lega,
Łęgajny,Łęgajny,
Łęgi,Łęgi,
Legionowo,Legionowo,
Legnica,Legnica,
Legnickie Pole,Legnickie Pole,
Łęgowo,Łęgowo,
Łęka Opatowska,Łęka Opatowska,
Łęknica,Łęknica,
Łekno,Łekno,
Łękno,Łękno,
Lemierzyce,Lemierzyce,
Lenarty,Lenarty,
Leonów,Leonów,
Lesięcin,Lesięcin,
Lesko,Lesko,
Leśmierz,Leśmierz,
Leśna,Leśna,
Leśnia,Leśnia,
Leśnice,Leśnice,
Leśniewo,Leśniewo,
Leszkowice,Leszkowice,
Leszno,Leszno,
Leszno Górne,Leszno Górne,
Lesznowola,Lesznowola,
Łętowice,Łętowice,
Lewin Brzeski,Lewin Brzeski,
Lewin Kłodzki,Lewin Kłodzki,
Leżajsk,Leżajsk,
Libertów,Libertów,
Libiąż,Libiąż,
Libusza,Libusza,
Lichtajny,Lichtajny,
Lidzbark,Lidzbark,
Lidzbark Warmiński,Lidzbark Warmiński,
Ligota,Ligota,
Ligota Piękna,Ligota Piękna,
Ligota Polska,Ligota Polska,
Ligota Prószkowska,Ligota Prószkowska,
Ligota Wielka,Ligota Wielka,
Limanowa,Limanowa,
Linowo,Linowo,
Lipce,Lipce,
Lipiany,Lipiany,
Lipinki,Lipinki,
Lipinki Łużyckie,Lipinki Łużyckie,
Lipka,Lipka,
Lipki Wielkie,Lipki Wielkie,
Lipnik,Lipnik,
Lipno,Lipno,
Lipowa,Lipowa,
Lipsko,Lipsko,
Lisewo,Lisewo,
Lisewo Malborskie,Lisewo Malborskie,
Lisia Góra,Lisia Góra,
Lisięcice,Lisięcice,
Lisie Pole,Lisie Pole,
Lisowice,Lisowice,
Liszki,Liszki,
Liszkowo,Liszkowo,
Liszyno,Liszyno,
Łobez,Łobez,
Łobżenica,Łobżenica,
Łochów,Łochów,
Łochowo,Łochowo,
Łodygowice,Łodygowice,
Łódź,Łódź,
Łódź-Bałuty,Łódź-Bałuty,
Łódź-Górna,Łódź-Górna,
Łódź-Polesie,Łódź-Polesie,
Łódź-Śródmieście,Łódź-Śródmieście,
Łódź-Widzew,Łódź-Widzew,
Łomianki,Łomianki,
Łomianki Dolne,Łomianki Dolne,
Łomna-Las,Łomna-Las,
Łomnica,Łomnica,
Łomża,Łomża,
Łosice,Łosice,
Łosino,Łosino,
Łososina Dolna,Łososina Dolna,
Łowicz,Łowicz,
Łoziska,Łoziska,
Lubaczów,Lubaczów,
Lubań,Lubań,
Lubanowo,Lubanowo,
Lubartów,Lubartów,
Lubawa,Lubawa,
Lubawka,Lubawka,
Lubelska,Lubelska,
Łubiana,Łubiana,
Lubianka,Lubianka,
Lubiatów,Lubiatów,
Lubiąż,Lubiąż,
Lubichowo,Lubichowo,
Lubicz Dolny,Lubicz Dolny,
Lubicz Górny,Lubicz Górny,
Lubiechowo,Lubiechowo,
Lubiewo,Lubiewo,
Lubin,Lubin,
Lubiszyn,Lubiszyn,
Lublewo Gdańskie,Lublewo Gdańskie,
Lublin,Lublin,
Lubliniec,Lubliniec,
Lubniewice,Lubniewice,
Lubnów,Lubnów,
Lubochnia,Lubochnia,
Lubomierz,Lubomierz,
Lubomino,Lubomino,
Luboń,Luboń,
Lubonieczek,Lubonieczek,
Łubowo,Łubowo,
Lubraniec,Lubraniec,
Lubrza,Lubrza,
Lubsko,Lubsko,
Lubsza,Lubsza,
Lubycza Królewska,Lubycza Królewska,
Lucim,Lucim,
Ludwikowice Kłodzkie,Ludwikowice Kłodzkie,
Łukaszowice,Łukaszowice,
Łukęcin,Łukęcin,
Łuków,Łuków,
Łukowice,Łukowice,
Łukta,Łukta,
Łupowo,Łupowo,
Lusówko,Lusówko,
Lutom,Lutom,
Lutowiska,Lutowiska,
Lututów,Lututów,
Lutynia,Lutynia,
Luzino,Luzino,
Lwówek,Lwówek,
Lwówek Śląski,Lwówek Śląski,
Lwowiany,Lwowiany,
Lwowska,Lwowska,
Łysa Góra,Łysa Góra,
Machary,Machary,
Mączniki,Mączniki,
Magdalenka,Magdalenka,
Majdan,Majdan,
Majewo,Majewo,
Mąkoszyce,Mąkoszyce,
Maków Mazowiecki,Maków Mazowiecki,
Maków Podhalański,Maków Podhalański,
Maksymilianowo,Maksymilianowo,
Małaszewicze,Małaszewicze,
Malawa,Malawa,
Mała Wieś,Mała Wieś,
Malbork,Malbork,
Malczyce,Malczyce,
Małdyty,Małdyty,
Małe Walichnowy,Małe Walichnowy,
Małkinia Górna,Małkinia Górna,
Małżewo,Małżewo,
Manieczki,Manieczki,
Maniowy,Maniowy,
Manowo,Manowo,
Marcinkowice,Marcinkowice,
Marcinkowo,Marcinkowo,
Marcinowice,Marcinowice,
Marciszów,Marciszów,
Marczyce,Marczyce,
Margonin,Margonin,
Marianowo,Marianowo,
Marki,Marki,
Markowice,Markowice,
Marzęcino,Marzęcino,
Masłów,Masłów,
Masłowo,Masłowo,
Masłów Pierwszy,Masłów Pierwszy,
Maszewo,Maszewo,
Maszewo Lęborskie,Maszewo Lęborskie,
Mątowskie Pastwiska,Mątowskie Pastwiska,
Maziarnia Strzelecka,Maziarnia Strzelecka,
Mazurowice,Mazurowice,
Mechelinki,Mechelinki,
Męcinka,Męcinka,
Mędłów,Mędłów,
Mianowice,Mianowice,
Miasteczko Śląskie,Miasteczko Śląskie,
Miastko,Miastko,
Michale,Michale,
Michalów,Michalów,
Michałów-Grabina,Michałów-Grabina,
Michałowice,Michałowice,
Michałowo,Michałowo,
Miechów,Miechów,
Miechowice,Miechowice,
Mieczkowo,Mieczkowo,
Miedziana Góra,Miedziana Góra,
Miedzichowo,Miedzichowo,
Międzybórz,Międzybórz,
Międzybrodzie Bialskie,Międzybrodzie Bialskie,
Międzychód,Międzychód,
Międzylesie,Międzylesie,
Międzyrzec Podlaski,Międzyrzec Podlaski,
Międzyrzecz,Międzyrzecz,
Międzyświeć,Międzyświeć,
Międzywodzie,Międzywodzie,
Międzyzdroje,Międzyzdroje,
Miejsce Piastowe,Miejsce Piastowe,
Miękinia,Miękinia,
Mielec,Mielec,
Mielęcin,Mielęcin,
Mielenko,Mielenko,
Mielno,Mielno,
Mierków,Mierków,
Mieroszów,Mieroszów,
Mieroszyno,Mieroszyno,
Mierzym,Mierzym,
Mierzyn,Mierzyn,
Mierzynko,Mierzynko,
Mieszałki,Mieszałki,
Mieszkowice,Mieszkowice,
Miętkie,Miętkie,
Mietków,Mietków,
Mietniów,Mietniów,
Mikołajki,Mikołajki,
Mikolin,Mikolin,
Mikołów,Mikołów,
Mikoszewo,Mikoszewo,
Mikówiec,Mikówiec,
Miłakowo,Miłakowo,
Milanówek,Milanówek,
Milicz,Milicz,
Miłki,Miłki,
Miłków,Miłków,
Miłkowice,Miłkowice,
Miłobądz,Miłobądz,
Miłogoszcz,Miłogoszcz,
Miłoradz,Miłoradz,
Miłosław,Miłosław,
Miłoszyce,Miłoszyce,
Mińsk Mazowiecki,Mińsk Mazowiecki,
Mirków,Mirków,
Mirkowice,Mirkowice,
Mirosławice,Mirosławice,
Mirosławiec,Mirosławiec,
Mirosławiec Górny,Mirosławiec Górny,
Mirostowice Dolne,Mirostowice Dolne,
Mirostowice Górne,Mirostowice Górne,
Mirsk,Mirsk,
Mistrzejowice,Mistrzejowice,
Mława,Mława,
Młoszowa,Młoszowa,
Młynary,Młynary,
Młyńska,Młyńska,
Mników,Mników,
Mochnaczka Niżna,Mochnaczka Niżna,
Mochowo,Mochowo,
Modliborzyce,Modliborzyce,
Modlnica,Modlnica,
Modlniczka,Modlniczka,
Modropole,Modropole,
Modrzyca,Modrzyca,
Mogielnica,Mogielnica,
Mogilany,Mogilany,
Mogilno,Mogilno,
Mójcza,Mójcza,
Mokajny,Mokajny,
Mokotów,Mokotów,
Mokrzyca Mała,Mokrzyca Mała,
Mońki,Mońki,
Moracz,Moracz,
Morąg,Morąg,
Moryń,Moryń,
Moście Błota,Moście Błota,
Mościenica,Mościenica,
Mosina,Mosina,
Motarzyno,Motarzyno,
Mrągowo,Mrągowo,
Mrocza,Mrocza,
Mroków,Mroków,
Mrowino,Mrowino,
Mrzeżyno,Mrzeżyno,
Mścice,Mścice,
Mściwojów,Mściwojów,
Mszczonów,Mszczonów,
Murów,Murów,
Murowana Goślina,Murowana Goślina,
Murzasichle,Murzasichle,
Murzynówko,Murzynówko,
Murzynowo,Murzynowo,
Murzynowo Leśne,Murzynowo Leśne,
Mydłów,Mydłów,
Mykanów,Mykanów,
Mysiadło,Mysiadło,
Mysłakowice,Mysłakowice,
Myślęcinek,Myślęcinek,
Myślenice,Myślenice,
Myślibórz,Myślibórz,
Mysłowice,Mysłowice,
Myszków,Myszków,
Naborów,Naborów,
Nadma,Nadma,
Nadole,Nadole,
Nadolice Wielkie,Nadolice Wielkie,
Nagawczyna,Nagawczyna,
Nagłowice,Nagłowice,
Nagradowice,Nagradowice,
Najmowo,Najmowo,
Nakło,Nakło,
Nakło nad Notecią,Nakło nad Notecią,
Nałęczów,Nałęczów,
Namysłów,Namysłów,
Narok,Narok,
Narol,Narol,
Nasielsk,Nasielsk,
Nasutowo,Nasutowo,
Naterki,Naterki,
Nędza,Nędza,
Nekla,Nekla,
Nętkowo,Nętkowo,
Nidzica,Nidzica,
Nieborowice,Nieborowice,
Niebyła,Niebyła,
Niechcice,Niechcice,
Niechlów,Niechlów,
Niechorze,Niechorze,
Niedalino,Niedalino,
Niedomice,Niedomice,
Niegolewo,Niegolewo,
Niegosławice,Niegosławice,
Nieledew,Nieledew,
Niemcz,Niemcz,
Niemcza,Niemcza,
Niemczyn,Niemczyn,
Niemica,Niemica,
Niemodlin,Niemodlin,
Niemstów,Niemstów,
Niepołomice,Niepołomice,
Nieporęt,Nieporęt,
Niepruszewo,Niepruszewo,
Nieszawa,Nieszawa,
Niewistka,Niewistka,
Niezabitów,Niezabitów,
Nieznany Bór,Nieznany Bór,
Nieżychowice,Nieżychowice,
Nipkowie,Nipkowie,
Nisko,Nisko,
Niskowa,Niskowa,
Niwiska,Niwiska,
Nochowo,Nochowo,
Nosówka,Nosówka,
Nowa Ruda,Nowa Ruda,
Nowa Sól,Nowa Sól,
Nowa Wieś,Nowa Wieś,
Nowęcin,Nowęcin,
Nowe Miasto,Nowe Miasto,
Nowiny,Nowiny,
Nowizna,Nowizna,
Nowodworce,Nowodworce,
Nowogard,Nowogard,
Nowogród Bobrzański,Nowogród Bobrzański,
Nowogrodziec,Nowogrodziec,
Nowy Dwór,Nowy Dwór,
Nowy Sącz,Nowy Sącz,
Nowy Targ,Nowy Targ,
Nurzec-Stacja,Nurzec-Stacja,
Nysa,Nysa,
Obodowo,Obodowo,
Obora,Obora,
Oborniki,Oborniki,
Oborniki Śląskie,Oborniki Śląskie,
Obory,Obory,
Obrowo,Obrowo,
Obrzycko,Obrzycko,
Obudno,Obudno,
Ochojno,Ochojno,
Ochota,Ochota,
Odolanów,Odolanów,
Ogonki,Ogonki,
Ogrodniki,Ogrodniki,
Ogrody,Ogrody,
Ojrzanowo,Ojrzanowo,
Okleśna,Okleśna,
Okmiany,Okmiany,
Okonek,Okonek,
Okonin,Okonin,
Okunica,Okunica,
Oława,Oława,
Ołdrzychowice Kłodzkie,Ołdrzychowice Kłodzkie,
Olecki,Olecki,
Olecko,Olecko,
Oleśnica,Oleśnica,
Olesno,Olesno,
Oleszna,Oleszna,
Olkusz,Olkusz,
Ołobok,Ołobok,
Olszanica,Olszanica,
Olsztyn,Olsztyn,
Olsztynek,Olsztynek,
Olszyna,Olszyna,
Olszyny,Olszyny,
Ołtarzew,Ołtarzew,
Opalenica,Opalenica,
Opatkowice,Opatkowice,
Opoczno,Opoczno,
Opole,Opole,
Opole Lubelskie,Opole Lubelskie,
Opolno-Zdrój,Opolno-Zdrój,
Orle,Orle,
Orłowo,Orłowo,
Orneta,Orneta,
Ornontowice,Ornontowice,
Orzesze,Orzesze,
Orzeszki,Orzeszki,
Orzeszkowo,Orzeszkowo,
Orzysz,Orzysz,
Osice,Osice,
Osie,Osie,
Osięciny,Osięciny,
Osieczany,Osieczany,
Osieczek,Osieczek,
Osiek,Osiek,
Osieki,Osieki,
Osiek nad Notecią,Osiek nad Notecią,
Osiekowo,Osiekowo,
Osielsko,Osielsko,
Osina,Osina,
Osina Wielka,Osina Wielka,
Osiny,Osiny,
Osłonin,Osłonin,
Ośno Lubuskie,Ośno Lubuskie,
Ostaszewo,Ostaszewo,
Ostróda,Ostróda,
Ostrołęka,Ostrołęka,
Ostrówek,Ostrówek,
Ostrowice,Ostrowice,
Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,
Ostrowin,Ostrowin,
Ostrowite,Ostrowite,
Ostrów Mazowiecka,Ostrów Mazowiecka,
Ostrowo,Ostrowo,
Ostrów Wielkopolski,Ostrów Wielkopolski,
Ostrzeszów,Ostrzeszów,
Oświęcim,Oświęcim,
Otmuchów,Otmuchów,
Otrębusy,Otrębusy,
Otwock,Otwock,
Otwock Mały,Otwock Mały,
Owidz,Owidz,
Owińska,Owińska,
Ożarów,Ożarów,
Ożarów Mazowiecki,Ożarów Mazowiecki,
Ozimek,Ozimek,
Ozorków,Ozorków,
Pabianice,Pabianice,
Paczków,Paczków,
Paczkowo,Paczkowo,
Paczyna,Paczyna,
Pajęczno,Pajęczno,
Pakość,Pakość,
Pakosław,Pakosław,
Palędzie,Palędzie,
Pamiątkowo,Pamiątkowo,
Panasówka,Panasówka,
Paproć,Paproć,
Paprotnia,Paprotnia,
Parczew,Parczew,
Parwark,Parwark,
Parzęczew,Parzęczew,
Parzniew,Parzniew,
Pasłęk,Pasłęk,
Pass,Pass,
Pastwa,Pastwa,
Pasym,Pasym,
Paszowice,Paszowice,
Paterek,Paterek,
Pawłów,Pawłów,
Pawłowice,Pawłowice,
Pcim,Pcim,
Pęcław,Pęcław,
Pełczyce,Pełczyce,
Pelplin,Pelplin,
Pępowo,Pępowo,
Pętkowice,Pętkowice,
Pętkowo,Pętkowo,
Piaseczna Górka,Piaseczna Górka,
Piaseczno,Piaseczno,
Piasek,Piasek,
Piaski,Piaski,
Piastów,Piastów,
Piątek Wielki,Piątek Wielki,
Pichorowice,Pichorowice,
Piechanin,Piechanin,
Piechcin,Piechcin,
Piechowice,Piechowice,
Piecowice,Piecowice,
Piekary,Piekary,
Piekary Śląskie,Piekary Śląskie,
Pieńsk,Pieńsk,
Pierkunowo,Pierkunowo,
Pierściec,Pierściec,
Pieszków,Pieszków,
Pieszyce,Pieszyce,
Pietrzykowice,Pietrzykowice,
Piła,Piła,
Pilawa,Pilawa,
Piława,Piława,
Piława Górna,Piława Górna,
Pilchowice,Pilchowice,
Pilchowo,Pilchowo,
Pilski,Pilski,
Pińczów,Pińczów,
Pionki,Pionki,
Piotraszewo,Piotraszewo,
Piotrków Trybunalski,Piotrków Trybunalski,
Piotrowo Pierwsze,Piotrowo Pierwsze,
Pisanica,Pisanica,
Pisarzowice,Pisarzowice,
Piski,Piski,
Pisz,Pisz,
Piwniczna-Zdrój,Piwniczna-Zdrój,
Planty,Planty,
Pławno,Pławno,
Plebiscytowa,Plebiscytowa,
Pleśna,Pleśna,
Pleszew,Pleszew,
Plewiska,Plewiska,
Płochocin,Płochocin,
Płociczno-Tartak,Płociczno-Tartak,
Płock,Płock,
Płońsk,Płońsk,
Płoskie,Płoskie,
Płoty,Płoty,
Pniewy,Pniewy,
Pobiedna,Pobiedna,
Pobiedziska,Pobiedziska,
Pobierowo,Pobierowo,
Pocieszka,Pocieszka,
Poddębice,Poddębice,
Podegrodzie,Podegrodzie,
Podgórze,Podgórze,
Podgórzyn,Podgórzyn,
Podkomorki,Podkomorki,
Podkowa Leśna,Podkowa Leśna,
Podławki,Podławki,
Podlechy,Podlechy,
Podlesie Kościelne,Podlesie Kościelne,
Podleśne,Podleśne,
Podłęże,Podłęże,
Podolany,Podolany,
Podolszyn Nowy,Podolszyn Nowy,
Podrzeczna,Podrzeczna,
Podstolice,Podstolice,
Podwale,Podwale,
Podwiesk,Podwiesk,
Pogalewo Wielkie,Pogalewo Wielkie,
Pogórska Wola,Pogórska Wola,
Pogorszewo,Pogorszewo,
Pogorzała,Pogorzała,
Pogórze,Pogórze,
Pogorzela,Pogorzela,
Pogorzelica,Pogorzelica,
Pogwizdów,Pogwizdów,
Pogwizdów Nowy,Pogwizdów Nowy,
Polańczyk,Polańczyk,
Polanica-Zdrój,Polanica-Zdrój,
Połaniec,Połaniec,
Polanów,Polanów,
Polanowice,Polanowice,
Połażejewo,Połażejewo,
Połczyn-Zdrój,Połczyn-Zdrój,
Polesie,Polesie,
Police,Police,
Polkowice,Polkowice,
Polna,Polna,
Połom,Połom,
Polska,Polska,
Pomarzanowice,Pomarzanowice,
Pomiechówek,Pomiechówek,
Pomorska,Pomorska,
Pomyków,Pomyków,
Pomysk Wielki,Pomysk Wielki,
Poniatowa,Poniatowa,
Poniatowice,Poniatowice,
Poniec,Poniec,
Poniszowice,Poniszowice,
Popów,Popów,
Poprzeczna,Poprzeczna,
Porąbka,Porąbka,
Poraj,Poraj,
Porajów,Porajów,
Poręba,Poręba,
Porosiuki,Porosiuki,
Porosły,Porosły,
Posada,Posada,
Posadowice,Posadowice,
Posadowo,Posadowo,
Postomino,Postomino,
Potęgowo,Potęgowo,
Potulice,Potulice,
Poturzyn,Poturzyn,
Poznań,Poznań,
Poznań-Wilda,Poznań-Wilda,
Prabuty,Prabuty,
Prądnik Biały,Prądnik Biały,
Prądnik Czerwony,Prądnik Czerwony,
Praga-Północ,Praga-Północ,
Praga-Południe,Praga-Południe,
Praszka,Praszka,
Prawiedniki,Prawiedniki,
Próchnowo,Próchnowo,
Prochowice,Prochowice,
Promnice,Promnice,
Prosta,Prosta,
Prostki,Prostki,
Proszków,Proszków,
Prószków,Prószków,
Proszowice,Proszowice,
Prudnik,Prudnik,
Prusice,Prusice,
Pruszcz,Pruszcz,
Pruszcz Gdański,Pruszcz Gdański,
Pruszków,Pruszków,
Pruszowice,Pruszowice,
Przasnysz,Przasnysz,
Przebędowo,Przebędowo,
Przecław,Przecław,
Przeczno,Przeczno,
Przedbórz,Przedbórz,
Przejazdowo,Przejazdowo,
Przejęsław,Przejęsław,
Przelewice,Przelewice,
Przemęt,Przemęt,
Przemków,Przemków,
Przemyśl,Przemyśl,
Przemysłowa,Przemysłowa,
Przesieka,Przesieka,
Przewłoka,Przewłoka,
Przeworsk,Przeworsk,
Przeźmierowo,Przeźmierowo,
Przybiernów,Przybiernów,
Przybiernówko,Przybiernówko,
Przyborów,Przyborów,
Przyborówko,Przyborówko,
Przybyszewo,Przybyszewo,
Przygodzice,Przygodzice,
Przyjaźń,Przyjaźń,
Przyłogi,Przyłogi,
Przypki,Przypki,
Przytoczna,Przytoczna,
Przytok,Przytok,
Psarskie,Psarskie,
Psary,Psary,
Pszczew,Pszczew,
Pszczółki,Pszczółki,
Pszczyna,Pszczyna,
Pszów,Pszów,
Ptakowice,Ptakowice,
Ptasia,Ptasia,
Puck,Puck,
Puławy,Puławy,
Pułtusk,Pułtusk,
Pustelnik,Pustelnik,
Pustynia,Pustynia,
Puszczykowo,Puszczykowo,
Puszno Godowskie,Puszno Godowskie,
Pyrzyce,Pyrzyce,
Pyskowice,Pyskowice,
Pysznica,Pysznica,
Rąbień,Rąbień,
Rąbiń,Rąbiń,
Rabka-Zdrój,Rabka-Zdrój,
Rąblów,Rąblów,
Rabowice,Rabowice,
Raciborowice,Raciborowice,
Raciborowice Górne,Raciborowice Górne,
Racibórz,Racibórz,
Raciechowice,Raciechowice,
Raciniewo,Raciniewo,
Rączna,Rączna,
Radachów,Radachów,
