Wejście,Nazwa w TERYT,Typ
Radacz,Radacz,
Radakowice,Radakowice,
Radęcin,Radęcin,
Radków,Radków,
Radlin,Radlin,
Radłów,Radłów,
Radłowo,Radłowo,
Radom,Radom,
Radomierzyce,Radomierzyce,
Radomin,Radomin,
Radomsko,Radomsko,
Radomyśl,Radomyśl,
Radomyśl Wielki,Radomyśl Wielki,
Radoszyn,Radoszyn,
Radowo Małe,Radowo Małe,
Radunica,Radunica,
Radwanice,Radwanice,
Radymno,Radymno,
Radzewo,Radzewo,
Radziejów,Radziejów,
Radziemice,Radziemice,
Radzim,Radzim,
Radzionków,Radzionków,
Radzymin,Radzymin,
Radzyń,Radzyń,
Radzyń Chełmiński,Radzyń Chełmiński,
Radzyń Podlaski,Radzyń Podlaski,
Radzyny,Radzyny,
Rajgród,Rajgród,
Rajkowo,Rajkowo,
Rakoniewice,Rakoniewice,
Ramiszów,Ramiszów,
Rarwino,Rarwino,
Raszewy,Raszewy,
Raszków,Raszków,
Raszów,Raszów,
Raszowa,Raszowa,
Ratowice,Ratowice,
Rawa Mazowiecka,Rawa Mazowiecka,
Rawicz,Rawicz,
Recz,Recz,
Ręczyn,Ręczyn,
Reda,Reda,
Redzikowo,Redzikowo,
Regielnica,Regielnica,
Reguły,Reguły,
Rejowiec,Rejowiec,
Rejowiec Fabryczny,Rejowiec Fabryczny,
Rekcin,Rekcin,
Rekowo Górne,Rekowo Górne,
Resko,Resko,
Reszel,Reszel,
Rewa,Rewa,
Rewal,Rewal,
Robakowo,Robakowo,
Rogaszyce,Rogaszyce,
Rogowo,Rogowo,
Rogowszczyzna,Rogowszczyzna,
Rogoźno,Rogoźno,
Rogóźno,Rogóźno,
Rogóźno-Zamek,Rogóźno-Zamek,
Rojewo,Rojewo,
Rokietnica,Rokietnica,
Rokitki,Rokitki,
Rokitnica,Rokitnica,
Rokitno Szlacheckie,Rokitno Szlacheckie,
Ropczyce,Ropczyce,
Rościsławice,Rościsławice,
Rosnowo,Rosnowo,
Rotmanka,Rotmanka,
Rowy,Rowy,
Różanka,Różanka,
Różanki,Różanki,
Rozbark,Rozbark,
Rozewie,Rozewie,
Rozłogi,Rozłogi,
Rozmierka,Rozmierka,
Rożno-Parcele,Rożno-Parcele,
Rożnowo Nowogardzkie,Rożnowo Nowogardzkie,
Roztoki,Roztoki,
Ruciane-Nida,Ruciane-Nida,
Ruczaj,Ruczaj,
Ruda,Ruda,
Ruda Śląska,Ruda Śląska,
Rudna Mała,Rudna Mała,
Rudna Wielka,Rudna Wielka,
Rudniczysko,Rudniczysko,
Rudnik,Rudnik,
Rudziniec,Rudziniec,
Ruja,Ruja,
Rumia,Rumia,
Rumianek,Rumianek,
Rumoka,Rumoka,
Rumsko,Rumsko,
Runowo Krajeńskie,Runowo Krajeńskie,
Rurzyca,Rurzyca,
Rusiec,Rusiec,
Rusinowo,Rusinowo,
Ruszów,Ruszów,
Ruszowice,Ruszowice,
Rutki,Rutki,
Rybaki,Rybaki,
Rybarzowice,Rybarzowice,
Rybin,Rybin,
Rybnica,Rybnica,
Rybnik,Rybnik,
Rybno Wielkie,Rybno Wielkie,
Rycerzewko,Rycerzewko,
Rychowo,Rychowo,
Rychtal,Rychtal,
Ryczywół,Ryczywół,
Rydułtowy,Rydułtowy,
Rydzewo,Rydzewo,
Rydzyna,Rydzyna,
Ryjewo,Ryjewo,
Ryki,Ryki,
Ryn,Ryn,
Rynia,Rynia,
Rypin,Rypin,
Rząska,Rząska,
Rzepin,Rzepin,
Rzepkowo,Rzepkowo,
Rzeplino,Rzeplino,
Rzeszotary,Rzeszotary,
Rzeszów,Rzeszów,
Rzgów,Rzgów,
Rzyszczewo,Rzyszczewo,
Sadki,Sadki,
Sadowice,Sadowice,
Salno,Salno,
Samborowo,Samborowo,
Sandomierska,Sandomierska,
Sandomierz,Sandomierz,
Sanok,Sanok,
Sapowice,Sapowice,
Sarbinowo,Sarbinowo,
Sarnice,Sarnice,
Sartowice,Sartowice,
Sasek Wielki,Sasek Wielki,
Ścinawa,Ścinawa,
Ścinawka Dolna,Ścinawka Dolna,
Ścinawka Średnia,Ścinawka Średnia,
Sędzice,Sędzice,
Sędziszów Małopolski,Sędziszów Małopolski,
Sejny,Sejny,
Sępólno Krajeńskie,Sępólno Krajeńskie,
Serby,Serby,
Serock,Serock,
Sianów,Sianów,
Sianożęty,Sianożęty,
Sicienko,Sicienko,
Siechnice,Siechnice,
Sieciemin,Sieciemin,
Siedlce,Siedlce,
Siedlec,Siedlec,
Siedlice,Siedlice,
Siedlisko,Siedlisko,
Siekierki Wielkie,Siekierki Wielkie,
Sielpia Wielka,Sielpia Wielka,
Siemianice,Siemianice,
Siemianowice Śląskie,Siemianowice Śląskie,
Siemiatycze,Siemiatycze,
Siemyśl,Siemyśl,
Sieniawa,Sieniawa,
Sienna,Sienna,
Siennica Nadolna,Siennica Nadolna,
Sieradz,Sieradz,
Sieradza,Sieradza,
Sieraków,Sieraków,
Sierakowice,Sierakowice,
Sierniki,Sierniki,
Sierosław,Sierosław,
Sierpc,Sierpc,
Siewierz,Siewierz,
Sigajny,Sigajny,
Siła,Siła,
Silnowo,Silnowo,
Sitno,Sitno,
Skała,Skała,
Skalbmierz,Skalbmierz,
Skalin,Skalin,
Skalmierzyce,Skalmierzyce,
Skarbimierzyce,Skarbimierzyce,
Skarszewy,Skarszewy,
Skarżysko-Kamienna,Skarżysko-Kamienna,
Skawina,Skawina,
Skawinki,Skawinki,
Skęczniew,Skęczniew,
Skępe,Skępe,
Skibice,Skibice,
Skierniewice,Skierniewice,
Skoczów,Skoczów,
Skoki,Skoki,
Skoraczewo,Skoraczewo,
Skórcz,Skórcz,
Skórka,Skórka,
Skoroszów,Skoroszów,
Skoroszowice,Skoroszowice,
Skórzewo,Skórzewo,
Skotniki,Skotniki,
Skrzynki,Skrzynki,
Skwierzyna,Skwierzyna,
Sława,Sława,
Sławianowo,Sławianowo,
Sławniowice,Sławniowice,
Sławno,Sławno,
Śledziejowice,Śledziejowice,
Ślesin,Ślesin,
Śliwniki,Śliwniki,
Śliwno,Śliwno,
Słomin,Słomin,
Słomniki,Słomniki,
Słonawy,Słonawy,
Słonecznik,Słonecznik,
Słońsk,Słońsk,
Słosinko,Słosinko,
Słoszewy,Słoszewy,
Słowik,Słowik,
Słubice,Słubice,
Słudwia,Słudwia,
Słupca,Słupca,
Słupno,Słupno,
Słupsk,Słupsk,
Słupy,Słupy,
Smardy Dolne,Smardy Dolne,
Smardzewice,Smardzewice,
Smardzewo,Smardzewo,
Smęcino,Smęcino,
Śmigiel,Śmigiel,
Smogulecka Wieś,Smogulecka Wieś,
Smolec,Smolec,
Smolna,Smolna,
Snopków,Snopków,
Snowidza,Snowidza,
Sobienie-Jeziory,Sobienie-Jeziory,
Sobienie Szlacheckie,Sobienie Szlacheckie,
Sobota,Sobota,
Sobótka,Sobótka,
Sochaczew,Sochaczew,
Sokółka,Sokółka,
Sokolniki,Sokolniki,
Sokołowice,Sokołowice,
Sokołowo Budzyńskie,Sokołowo Budzyńskie,
Sokołów Podlaski,Sokołów Podlaski,
Sokołowsko,Sokołowsko,
Solarnia,Solarnia,
Solec,Solec,
Solec Kujawski,Solec Kujawski,
Solec-Zdrój,Solec-Zdrój,
Somonino,Somonino,
Sompolno,Sompolno,
Sopot,Sopot,
Sorkwity,Sorkwity,
Sośnicowice,Sośnicowice,
Sosnowa,Sosnowa,
Sosnowiec,Sosnowiec,
Sosnówka,Sosnówka,
Spała,Spała,
Spalice,Spalice,
Spiczyn,Spiczyn,
Spławie,Spławie,
Srebrna,Srebrna,
Srebrna Góra,Srebrna Góra,
Srebrzyszcze,Srebrzyszcze,
Śrem,Śrem,
Środa Śląska,Środa Śląska,
Środa Wielkopolska,Środa Wielkopolska,
Śródka,Śródka,
Śródmieście,Śródmieście,
Stalowa Wola,Stalowa Wola,
Stanisławice,Stanisławice,
Stanisławie,Stanisławie,
Staniszów,Staniszów,
Stanomino,Stanomino,
Stanowice,Stanowice,
Stanowo,Stanowo,
Stąporków,Stąporków,
Starachowice,Starachowice,
Stara Dąbrowa,Stara Dąbrowa,
Stara Iwiczna,Stara Iwiczna,
Stara Kamienica,Stara Kamienica,
Stara Kościelnica,Stara Kościelnica,
Stara Wieś,Stara Wieś,
Starczówek,Starczówek,
Stare Babice,Stare Babice,
Stare Bielice,Stare Bielice,
Stare Bogaczowice,Stare Bogaczowice,
Stare Bojanowo,Stare Bojanowo,
Stare Czarnowo,Stare Czarnowo,
Stare Jabłonki,Stare Jabłonki,
Stare Olesno,Stare Olesno,
Stare Pole,Stare Pole,
Stare Polesie,Stare Polesie,
Stare Polichno,Stare Polichno,
Stare Strącze,Stare Strącze,
Stargard,Stargard,
Starogard,Starogard,
Starogard Gdański,Starogard Gdański,
Stary Dybów,Stary Dybów,
Stary Gołębin,Stary Gołębin,
Stary Grodków,Stary Grodków,
Stary Jaworów,Stary Jaworów,
Stary Targ,Stary Targ,
Stary Wołów,Stary Wołów,
Stary Żagań,Stary Żagań,
Stary Zagór,Stary Zagór,
Staszów,Staszów,
Staszyce,Staszyce,
Stawiguda,Stawiguda,
Stefanówka,Stefanówka,
Stegna,Stegna,
Stelmachowo,Stelmachowo,
Stepień,Stepień,
Stepnica,Stepnica,
Stęszew,Stęszew,
Stężyca,Stężyca,
Stobno,Stobno,
Stodólska,Stodólska,
Stojadła,Stojadła,
Storkówko,Storkówko,
Stoszowice,Stoszowice,
Stoszyce,Stoszyce,
Straduny,Straduny,
Straszyn,Straszyn,
Stronie Śląskie,Stronie Śląskie,
Strumień,Strumień,
Stryków,Stryków,
Strykowo,Strykowo,
Strzałkowo,Strzałkowo,
Strzebielino,Strzebielino,
Strzegom,Strzegom,
Strzekęcino,Strzekęcino,
Strzelce,Strzelce,
Strzelce Krajeńskie,Strzelce Krajeńskie,
Strzelce Opolskie,Strzelce Opolskie,
Strzelczyn,Strzelczyn,
Strzelęcino,Strzelęcino,
Strzelin,Strzelin,
Strzelino,Strzelino,
Strzelno,Strzelno,
Strzeszów,Strzeszów,
Strzeżenice,Strzeżenice,
Strzykuły,Strzykuły,
Stuchowo,Stuchowo,
Studzienice,Studzienice,
Stypułów,Stypułów,
Sucha Beskidzka,Sucha Beskidzka,
Suchań,Suchań,
Suchedniów,Suchedniów,
Suchy Dąb,Suchy Dąb,
Suchy Dwór,Suchy Dwór,
Suchy Las,Suchy Las,
Sulechów,Sulechów,
Sulęcin,Sulęcin,
Sulejów,Sulejów,
Sulejówek,Sulejówek,
Sulików,Sulików,
Sulikowo,Sulikowo,
Sulisławice,Sulisławice,
Suliszewo,Suliszewo,
Sułkowice,Sułkowice,
Sułkowo,Sułkowo,
Sulnowo,Sulnowo,
Sułów,Sułów,
Supraśl,Supraśl,
Suszec,Suszec,
Suszki,Suszki,
Suwałki,Suwałki,
Swarzędz,Swarzędz,
Swarzewo,Swarzewo,
Świątniki,Świątniki,
Świdnica,Świdnica,
Świdnik,Świdnik,
Świdwin,Świdwin,
Świebodzice,Świebodzice,
Świebodzin,Świebodzin,
Świecie,Świecie,
Święciechów,Święciechów,
Święciechowa,Święciechowa,
Świedziebnia,Świedziebnia,
Świeradów-Zdrój,Świeradów-Zdrój,
Świerklaniec,Świerklaniec,
Świerklany,Świerklany,
Świerzawa,Świerzawa,
Świerże Górne,Świerże Górne,
Świerzno,Świerzno,
Świeszyno,Świeszyno,
Święta Katarzyna,Święta Katarzyna,
Świętochłowice,Świętochłowice,
Świętoszów,Świętoszów,
Świlcza,Świlcza,
Świniarsko,Świniarsko,
Świniary Wielkie,Świniary Wielkie,
Świnoujście,Świnoujście,
Swoszowice,Swoszowice,
Sychowo,Sychowo,
Syców,Syców,
Szafarnia,Szafarnia,
Szaflary,Szaflary,
Szafranki,Szafranki,
Szałwinek,Szałwinek,
Szamocin,Szamocin,
Szamotuły,Szamotuły,
Szczaniec,Szczaniec,
Szczawne,Szczawne,
Szczawnica,Szczawnica,
Szczawno-Zdrój,Szczawno-Zdrój,
Szczecin,Szczecin,
Szczecinek,Szczecinek,
Szczekociny,Szczekociny,
Szczepańcowa,Szczepańcowa,
Szczodre,Szczodre,
Szczucin,Szczucin,
Szczyrk,Szczyrk,
Szczytna,Szczytna,
Szczytnica,Szczytnica,
Szczytniki,Szczytniki,
Szczytno,Szczytno,
Szelejewo Drugie,Szelejewo Drugie,
Szemielino,Szemielino,
Szemud,Szemud,
Szepietowo,Szepietowo,
Szerokie,Szerokie,
Szestno,Szestno,
Szewce,Szewce,
Szklarka Radnicka,Szklarka Radnicka,
Szklarka Śląska,Szklarka Śląska,
Szklarska Poręba,Szklarska Poręba,
Szklary Dolne,Szklary Dolne,
Szkolna,Szkolna,
Szlachtowa,Szlachtowa,
Szlak,Szlak,
Szlichtyngowa,Szlichtyngowa,
Szpitalna,Szpitalna,
Szprotawa,Szprotawa,
Sztum,Sztum,
Sztutowo,Sztutowo,
Szubin,Szubin,
Szudziałowo,Szudziałowo,
Szydłowiec,Szydłowiec,
Szymanów,Szymanów,
Tajęcina,Tajęcina,
Tarczyn,Tarczyn,
Targówek,Targówek,
Targowisko,Targowisko,
Tarnobrzeg,Tarnobrzeg,
Tarnów,Tarnów,
Tarnowiec,Tarnowiec,
Tarnowo Podgórne,Tarnowo Podgórne,
Tarnowskie Góry,Tarnowskie Góry,
Tczew,Tczew,
Tczewskie Łąki,Tczewskie Łąki,
Teklinów,Teklinów,
Terespol,Terespol,
Tłuszcz,Tłuszcz,
Tokary,Tokary,
Tolkmicko,Tolkmicko,
Tomaszkowo,Tomaszkowo,
Tomaszów Bolesławiecki,Tomaszów Bolesławiecki,
Tomaszowice,Tomaszowice,
Tomaszów Lubelski,Tomaszów Lubelski,
Tomaszów Mazowiecki,Tomaszów Mazowiecki,
Tomaszowo,Tomaszowo,
Topólka,Topólka,
Topolno Wielkie,Topolno Wielkie,
Toruń,Toruń,
Torzym,Torzym,
Trąbki Wielkie,Trąbki Wielkie,
Trachy,Trachy,
Trankwice,Trankwice,
Trepcza,Trepcza,
Tresna,Tresna,
Tryszczyn,Tryszczyn,
Trzaski,Trzaski,
Trzcianka,Trzcianka,
Trzcianki,Trzcianki,
Trzciel,Trzciel,
Trzciniec,Trzciniec,
Trzcińsko-Zdrój,Trzcińsko-Zdrój,
Trzebaw,Trzebaw,
Trzebiatów,Trzebiatów,
Trzebiec,Trzebiec,
Trzebiel,Trzebiel,
Trzebiele,Trzebiele,
Trzebieszyno,Trzebieszyno,
Trzebinia,Trzebinia,
Trzebnica,Trzebnica,
Trzebosz,Trzebosz,
Trzebownisko,Trzebownisko,
Trzemeszno,Trzemeszno,
Trzęsacz,Trzęsacz,
Trześniów,Trześniów,
Tuchola,Tuchola,
Tuchów,Tuchów,
Tuczno,Tuczno,
Tulce,Tulce,
Tułowice,Tułowice,
Tupadły,Tupadły,
Tuplice,Tuplice,
Tur,Tur,
Turawa,Turawa,
Turek,Turek,
Turka,Turka,
Turowo,Turowo,
Tursko,Tursko,
Turzno,Turzno,
Tuszyn,Tuszyn,
Twardogóra,Twardogóra,
Tworóg,Tworóg,
Tychowo,Tychowo,
Tychy,Tychy,
Tyczyn,Tyczyn,
Tykocin,Tykocin,
Tylice,Tylice,
Tymień,Tymień,
Tyniec Legnicki,Tyniec Legnicki,
Tyniec Mały,Tyniec Mały,
Uchorowo,Uchorowo,
Udanin,Udanin,
Ujazdowo,Ujazdowo,
Ujsoły,Ujsoły,
Ulhówek,Ulhówek,
Ulikowo,Ulikowo,
Ulim,Ulim,
Uniejów,Uniejów,
Uniemino,Uniemino,
Unieście,Unieście,
Unieszewo,Unieszewo,
Unin,Unin,
Unisław,Unisław,
Ursus,Ursus,
Ursynów,Ursynów,
Ustka,Ustka,
Ustowo,Ustowo,
Ustroń,Ustroń,
Ustronie Morskie,Ustronie Morskie,
Ustrzyki Dolne,Ustrzyki Dolne,
Wabcz,Wabcz,
Wąbrzeźno,Wąbrzeźno,
Wadąg,Wadąg,
Wadowice,Wadowice,
Wądroże Wielkie,Wądroże Wielkie,
Wagowa,Wagowa,
Wągrowiec,Wągrowiec,
Wałbrzych,Wałbrzych,
Wałcz,Wałcz,
Wałdowo,Wałdowo,
Walendów,Walendów,
Walim,Walim,
Wambierzyce,Wambierzyce,
Wapnica,Wapnica,
Wardyń,Wardyń,
Warka,Warka,
Warnino,Warnino,
Warszawa,Warszawa,
Warszawska,Warszawska,
Warszkowo,Warszkowo,
Warta,Warta,
Warta Bolesławiecka,Warta Bolesławiecka,
Warzymice,Warzymice,
Wasilków,Wasilków,
Wąsosz,Wąsosz,
Wasylów Wielki,Wasylów Wielki,
Wawer,Wawer,
Wawrów,Wawrów,
Wawrzeńczyce,Wawrzeńczyce,
Wędrzyn,Wędrzyn,
Węgierska Górka,Węgierska Górka,
Węgierskie,Węgierskie,
Węglewice,Węglewice,
Węgliniec,Węgliniec,
Węgorzewo,Węgorzewo,
Węgorzewo Koszalińskie,Węgorzewo Koszalińskie,
Węgorzyce,Węgorzyce,
Węgorzyno,Węgorzyno,
Węgrów,Węgrów,
Węgrzce,Węgrzce,
Węgrzce Wielkie,Węgrzce Wielkie,
Wejherowo,Wejherowo,
Wełna,Wełna,
Wesoła,Wesoła,
Westerplatte,Westerplatte,
Wiadrów,Wiadrów,
Wiatraczna,Wiatraczna,
Wiatrowo,Wiatrowo,
Wiązów,Wiązów,
Wichów,Wichów,
Widna,Widna,
Widok,Widok,
Widzew,Widzew,
Widzieńsko,Widzieńsko,
Widzino,Widzino,
Więcbork,Więcbork,
Wiejska,Wiejska,
Wiekowice,Wiekowice,
Wiekowo,Wiekowo,
Większyce,Większyce,
Wieleń,Wieleń,
Wielichowo,Wielichowo,
Wielichowo-Wieś,Wielichowo-Wieś,
Wieliczka,Wieliczka,
Wieliszew,Wieliszew,
Wielka Wieś,Wielka Wieś,
Wielkie Lniska,Wielkie Lniska,
Wielki Kack,Wielki Kack,
Wielki Klincz,Wielki Klincz,
Wielkopolska,Wielkopolska,
Wielowieś,Wielowieś,
Wieluń,Wieluń,
Wieruszów,Wieruszów,
Wierzbica,Wierzbica,
Wierzbowa,Wierzbowa,
Wierzchowie,Wierzchowie,
Wierzchowiny,Wierzchowiny,
Wierzchowisko,Wierzchowisko,
Wierzchownia,Wierzchownia,
Wierzchowo,Wierzchowo,
Wierzchowo-Dworzec,Wierzchowo-Dworzec,
Wierzchucin Królewski,Wierzchucin Królewski,
Wieściszowice,Wieściszowice,
Wilanów,Wilanów,
Wilczeniec Fabiański,Wilczeniec Fabiański,
Wilczyce,Wilczyce,
Wilczyna,Wilczyna,
Wilenko,Wilenko,
Wilkasy,Wilkasy,
Wilków,Wilków,
Wilkowice,Wilkowice,
Wilkszyn,Wilkszyn,
Wińsko,Wińsko,
Wiry,Wiry,
Wisełka,Wisełka,
Wiskitki,Wiskitki,
Wisła,Wisła,
Wiślinka,Wiślinka,
Wiśniowa Góra,Wiśniowa Góra,
Wiśniówek,Wiśniówek,
Wiśniówka,Wiśniówka,
Wisznia Mała,Wisznia Mała,
Witaszyce,Witaszyce,
Witkowo,Witkowo,
Witnica,Witnica,
Witosław,Witosław,
Wituchowo,Wituchowo,
Władysławowo,Władysławowo,
Wleń,Wleń,
Wlewsk,Wlewsk,
Włochy,Włochy,
Włocławek,Włocławek,
Włodawa,Włodawa,
Włodowice,Włodowice,
Włosań,Włosań,
Włoszakowice,Włoszakowice,
Włoszczowa,Włoszczowa,
Włynkówko,Włynkówko,
Wocławy,Wocławy,
Wodzisław Śląski,Wodzisław Śląski,
Wojcieszów,Wojcieszów,
Wojcieszyce,Wojcieszyce,
Wojkowice,Wojkowice,
Wojnowice,Wojnowice,
Wola,Wola,
Wola Batorska,Wola Batorska,
Wola Kopcowa,Wola Kopcowa,
Wola Krakowiańska,Wola Krakowiańska,
Wola Mrokowska,Wola Mrokowska,
Wola Rzędzińska,Wola Rzędzińska,
Wola Skorzęcka,Wola Skorzęcka,
Wola Uhruska,Wola Uhruska,
Wolbrom,Wolbrom,
Wołczyn,Wołczyn,
Wolental,Wolental,
Wolin,Wolin,
Wólka Grodziska,Wólka Grodziska,
Wólka Kosowska,Wólka Kosowska,
Wólka Panieńska,Wólka Panieńska,
Wólka Podleśna,Wólka Podleśna,
Wólka Tarnowska,Wólka Tarnowska,
Wolkowo,Wolkowo,
Wołkowyja,Wołkowyja,
Wołomin,Wołomin,
Wołów,Wołów,
Wolsztyn,Wolsztyn,
Wonieść,Wonieść,
Wróblowice,Wróblowice,
Wrocław,Wrocław,
Wronki,Wronki,
Wrzosowo,Wrzosowo,
Wschodnia,Wschodnia,
Wschowa,Wschowa,
Wspólna,Wspólna,
Wyczechy,Wyczechy,
Wykosowo,Wykosowo,
Wymiarki,Wymiarki,
Wyry,Wyry,
Wyrzysk,Wyrzysk,
Wysiołek Luborzycki,Wysiołek Luborzycki,
Wyskoć,Wyskoć,
Wysogotowo,Wysogotowo,
Wysoka,Wysoka,
Wysoka Głogowska,Wysoka Głogowska,
Wysokie Mazowieckie,Wysokie Mazowieckie,
Występ,Występ,
Wyszki,Wyszki,
Wyszków,Wyszków,
Wyżegi,Wyżegi,
Zabawa,Zabawa,
Żabia Wola,Żabia Wola,
Zabierzów,Zabierzów,
Ząbki,Ząbki,
Ząbkowice Śląskie,Ząbkowice Śląskie,
Zabłocie,Zabłocie,
Zabłudów,Zabłudów,
Żabno,Żabno,
Zabór,Zabór,
Zaborówek,Zaborówek,
Żabów,Żabów,
Zabrodzie,Zabrodzie,
Zabrze,Zabrze,
Zacharzyce,Zacharzyce,
Zaczernie,Zaczernie,
Zadory,Zadory,
Zadzim,Zadzim,
Żagań,Żagań,
Zagórze,Zagórze,
Zagrody,Zagrody,
Zajączek,Zajączek,
Zajezierze,Zajezierze,
Zakopane,Zakopane,
Zakroczym,Zakroczym,
Zakrzewo,Zakrzewo,
Zalasewo,Zalasewo,
Zalbki,Zalbki,
Żalęcino,Żalęcino,
Zalesie,Zalesie,
Zambrów,Zambrów,
Zamienie,Zamienie,
Zamojska,Zamojska,
Zamość,Zamość,
Zaniemyśl,Zaniemyśl,
Zarańsko,Zarańsko,
Żarczyn,Żarczyn,
Żarnowska,Żarnowska,
Żarów,Żarów,
Żarska Wieś,Żarska Wieś,
Żary,Żary,
Zarzecze,Zarzecze,
Zaścianki,Zaścianki,
Zaskale,Zaskale,
Zaspy Wielkie,Zaspy Wielkie,
Zastań,Zastań,
Zasutowo,Zasutowo,
Zator,Zator,
Zawada,Zawada,
Zawadzka,Zawadzka,
Zawadzkie,Zawadzkie,
Zawidów,Zawidów,
Zawiercie,Zawiercie,
Zawiszów,Zawiszów,
Zawoja,Zawoja,
Zbąszyń,Zbąszyń,
Zbąszynek,Zbąszynek,
Zblewo,Zblewo,
Zbrodzice,Zbrodzice,
Zbrosławice,Zbrosławice,
Zbrudzewo,Zbrudzewo,
Zbylitowska Góra,Zbylitowska Góra,
Zdrada,Zdrada,
Zduńska Wola,Zduńska Wola,
Zdziechowice,Zdziechowice,
Zdzieszowice,Zdzieszowice,
Zębice,Zębice,
Zębowice,Zębowice,
Zebrzydowa,Zebrzydowa,
Zebrzydowice,Zebrzydowice,
Zegartowice,Zegartowice,
Zegrze,Zegrze,
Zegrze Południowe,Zegrze Południowe,
Żelazno,Żelazno,
Żelice,Żelice,
Żelichowo,Żelichowo,
Żelisławki,Żelisławki,
Żelistrzewo,Żelistrzewo,
Żerków,Żerków,
Żerkowice,Żerkowice,
Żerniki,Żerniki,
Żerniki Małe,Żerniki Małe,
Żerniki Wrocławskie,Żerniki Wrocławskie,
Zgierz,Zgierz,
Zgorzała,Zgorzała,
Zgorzelec,Zgorzelec,
Ziębice,Ziębice,
Zielęcice,Zielęcice,
Zieleń,Zieleń,
Zieleniec,Zieleniec,
Zieleniewo,Zieleniewo,
Zieliniec,Zieliniec,
Zielona,Zielona,
Zielona Góra,Zielona Góra,
Zielonka,Zielonka,
Zielonki,Zielonki,
Ziemomyśl A,Ziemomyśl A,
Zimnowoda,Zimnowoda,
Zimowiska,Zimowiska,
Zławieś Wielka,Zławieś Wielka,
Żłobizna,Żłobizna,
Złocieniec,Złocieniec,
Złotniki,Złotniki,
Złotoryja,Złotoryja,
Złotów,Złotów,
Złoty Stok,Złoty Stok,
Żmigród,Żmigród,
Żmudź,Żmudź,
Zmysłowo,Zmysłowo,
Żnin,Żnin,
Żoliborz,Żoliborz,
Żórawina,Żórawina,
Żoruchowo,Żoruchowo,
Żory,Żory,
Zrazim,Zrazim,
Żukowo,Żukowo,
Żurawiniec,Żurawiniec,
Żuromin,Żuromin,
Zwierzyniec,Zwierzyniec,
Zwoleń,Zwoleń,
Zwonowice,Zwonowice,
Żychlin,Żychlin,
Żydowo,Żydowo,
Zygmuntowo,Zygmuntowo,
Żyrardów,Żyrardów,
Żytkiejmy,Żytkiejmy,
Żytnia,Żytnia,
Żywiec,Żywiec,
